"callsite_rva","iat_mem_rva","dll","import_name"
"0x0000473E","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0000476B","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00004798","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x000047C5","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x000047F2","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0000481F","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0000484C","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00004879","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x000048A6","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x000048D3","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00004900","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0000492D","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0000495A","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00004987","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x000049B4","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x000049E1","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00004A0E","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00004A3B","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00004A68","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00004A95","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00004AC2","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00004AEF","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00004B1C","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00004B49","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00004B76","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00004BA3","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00004BD0","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00004BFD","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00004C2A","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00004C57","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00004C84","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00004CB1","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00004CDE","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00004D0B","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00004D38","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00004D65","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00004D92","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00004DBF","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00004DEC","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00004E19","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00004E46","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00004E73","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00004EA0","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00004ECD","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00004EFA","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00004F27","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00004F54","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00004F81","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00004FAE","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00004FDB","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00005008","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00005035","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00005062","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0000508F","0x004301E8","KERNEL32.dll","GetProcAddress"
