"callsite_rva","iat_mem_rva","dll","import_name"
"0x003BEB2C","0x00430588","KERNEL32.dll","InterlockedPushEntrySList"
"0x003BEC27","0x00430188","KERNEL32.dll","QueryDepthSList"
"0x003BEC43","0x00430588","KERNEL32.dll","InterlockedPushEntrySList"
"0x003BEC9E","0x00430590","KERNEL32.dll","InterlockedPopEntrySList"
"0x003BECE2","0x00430590","KERNEL32.dll","InterlockedPopEntrySList"
"0x003BEDCC","0x00430188","KERNEL32.dll","QueryDepthSList"
"0x003BEDE5","0x00430588","KERNEL32.dll","InterlockedPushEntrySList"
"0x003BEDEE","0x00430188","KERNEL32.dll","QueryDepthSList"
"0x003BEE1D","0x00430190","KERNEL32.dll","InterlockedFlushSList"
"0x003BEE43","0x00430588","KERNEL32.dll","InterlockedPushEntrySList"
"0x003BEF20","0x00430188","KERNEL32.dll","QueryDepthSList"
"0x003BEF39","0x00430588","KERNEL32.dll","InterlockedPushEntrySList"
"0x003BEF42","0x00430188","KERNEL32.dll","QueryDepthSList"
"0x003BEF71","0x00430190","KERNEL32.dll","InterlockedFlushSList"
"0x003BEF97","0x00430588","KERNEL32.dll","InterlockedPushEntrySList"
"0x003BF2B1","0x00430188","KERNEL32.dll","QueryDepthSList"
"0x003BF2CB","0x00430588","KERNEL32.dll","InterlockedPushEntrySList"
"0x003BF629","0x00430590","KERNEL32.dll","InterlockedPopEntrySList"
"0x003BF958","0x00430268","KERNEL32.dll","ReleaseSemaphore"
"0x003BFF31","0x00430260","KERNEL32.dll","WaitForSingleObjectEx"
"0x003C0996","0x00430590","KERNEL32.dll","InterlockedPopEntrySList"
"0x003C121E","0x00430188","KERNEL32.dll","QueryDepthSList"
"0x003C1237","0x00430588","KERNEL32.dll","InterlockedPushEntrySList"
"0x003C1240","0x00430188","KERNEL32.dll","QueryDepthSList"
"0x003C1267","0x00430190","KERNEL32.dll","InterlockedFlushSList"
"0x003C128D","0x00430588","KERNEL32.dll","InterlockedPushEntrySList"
"0x003C2FDA","0x004301C8","KERNEL32.dll","GetCurrentThread"
"0x003C308E","0x004301C8","KERNEL32.dll","GetCurrentThread"
"0x003C3A6B","0x004301C8","KERNEL32.dll","GetCurrentThread"
"0x003C43C2","0x004303D0","KERNEL32.dll","SetEvent"
"0x003C4C02","0x004303D0","KERNEL32.dll","SetEvent"
"0x003C5107","0x00430378","KERNEL32.dll","GetModuleHandleW"
"0x003C5117","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x003C5138","0x00430378","KERNEL32.dll","GetModuleHandleW"
"0x003C5148","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x003C5169","0x00430378","KERNEL32.dll","GetModuleHandleW"
"0x003C5179","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x003C519A","0x00430378","KERNEL32.dll","GetModuleHandleW"
"0x003C51AA","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x003C51CB","0x00430378","KERNEL32.dll","GetModuleHandleW"
"0x003C51DB","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x003C51FC","0x00430378","KERNEL32.dll","GetModuleHandleW"
"0x003C520C","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x003C522D","0x00430378","KERNEL32.dll","GetModuleHandleW"
"0x003C523D","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x003C525E","0x00430378","KERNEL32.dll","GetModuleHandleW"
"0x003C526E","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x003C528F","0x00430378","KERNEL32.dll","GetModuleHandleW"
"0x003C529F","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x003C52C0","0x00430378","KERNEL32.dll","GetModuleHandleW"
"0x003C52D0","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x003C52F1","0x00430378","KERNEL32.dll","GetModuleHandleW"
"0x003C5301","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x003C5322","0x00430378","KERNEL32.dll","GetModuleHandleW"
"0x003C5332","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x003C5353","0x00430378","KERNEL32.dll","GetModuleHandleW"
"0x003C5363","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x003C5384","0x00430378","KERNEL32.dll","GetModuleHandleW"
"0x003C5394","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x003C53B5","0x00430378","KERNEL32.dll","GetModuleHandleW"
"0x003C53C5","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x003C53E6","0x00430378","KERNEL32.dll","GetModuleHandleW"
"0x003C53F6","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x003C5417","0x00430378","KERNEL32.dll","GetModuleHandleW"
"0x003C5427","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x003C5461","0x00430198","KERNEL32.dll","GetLastError"
"0x003C5491","0x00430198","KERNEL32.dll","GetLastError"
"0x003C54C1","0x00430198","KERNEL32.dll","GetLastError"
"0x003C54F1","0x00430198","KERNEL32.dll","GetLastError"
"0x003C551F","0x00430198","KERNEL32.dll","GetLastError"
"0x003C554D","0x00430198","KERNEL32.dll","GetLastError"
"0x003C557B","0x00430198","KERNEL32.dll","GetLastError"
"0x003C55A9","0x00430198","KERNEL32.dll","GetLastError"
"0x003C55D7","0x00430198","KERNEL32.dll","GetLastError"
"0x003C5605","0x00430198","KERNEL32.dll","GetLastError"
"0x003C5633","0x00430198","KERNEL32.dll","GetLastError"
"0x003C5661","0x00430198","KERNEL32.dll","GetLastError"
"0x003C5695","0x00430198","KERNEL32.dll","GetLastError"
"0x003C56C9","0x00430198","KERNEL32.dll","GetLastError"
"0x003C56FD","0x00430198","KERNEL32.dll","GetLastError"
"0x003C5731","0x00430198","KERNEL32.dll","GetLastError"
"0x003C5765","0x00430198","KERNEL32.dll","GetLastError"
"0x003C57B2","0x00430548","KERNEL32.dll","LoadLibraryExW"
"0x003C57CB","0x00430378","KERNEL32.dll","GetModuleHandleW"
"0x003C57DB","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x003C5800","0x00430378","KERNEL32.dll","GetModuleHandleW"
"0x003C5810","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x003C5841","0x00430198","KERNEL32.dll","GetLastError"
"0x003C5871","0x00430198","KERNEL32.dll","GetLastError"
"0x003C58A1","0x00430198","KERNEL32.dll","GetLastError"
"0x003C5B8C","0x00430708","KERNEL32.dll","InitializeSListHead"
"0x003C5C95","0x00430188","KERNEL32.dll","QueryDepthSList"
"0x003C5CAD","0x00430588","KERNEL32.dll","InterlockedPushEntrySList"
"0x003C5D3D","0x00430188","KERNEL32.dll","QueryDepthSList"
"0x003C5D55","0x00430588","KERNEL32.dll","InterlockedPushEntrySList"
"0x003C5D65","0x00430190","KERNEL32.dll","InterlockedFlushSList"
"0x003C5E77","0x00430590","KERNEL32.dll","InterlockedPopEntrySList"
"0x003C5F24","0x00430190","KERNEL32.dll","InterlockedFlushSList"
"0x003C5FE4","0x00430548","KERNEL32.dll","LoadLibraryExW"
"0x003C5FF2","0x00430198","KERNEL32.dll","GetLastError"
"0x003C6008","0x00430580","KERNEL32.dll","LoadLibraryW"
"0x003C6024","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x003C603F","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x003C605B","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x003C6077","0x004301E8","KERNEL32.dll","GetProcAddress"
